tsec,pt,mxpix,mypix,mxmm,mymm,scalemmperpix
-0.016,18,509.915442960773,320.385152666591,7.99320006462217,29.8157796516991,0.179
-0.016,19,516.766187537105,289.305040593969,8.58977592679944,35.4073244019512,0.179
-0.016,20,519.326066494858,257.584010184442,9.50764015851176,40.939797157007,0.179
-0.015,1,503.09534236885,848.015548029544,5.7816948741812,-65.4405207541705,0.179
-0.015,2,503.78164001963,816.262456596902,4.96662123628188,-59.9047623539396,0.179
-0.015,3,495.742442549043,785.589255016951,4.23416450364837,-54.351781224901,0.179
-0.015,4,499.691419381899,754.031144529071,3.66776330246248,-48.7734694589274,0.179
-0.015,5,496.604189444657,722.415811720925,3.32511781666133,-43.1674816365066,0.179
-0.015,6,503.362174750626,691.392359401808,3.21762692203204,-37.5424561727196,0.179
-0.015,7,504.960864635644,659.676711209784,3.40861756886861,-31.9151736407524,0.179
-0.015,8,499.325704585379,628.424459516893,4.00873198150002,-26.3087684060197,0.179
-0.015,9,498.614547108436,596.668148141137,4.80642034045041,-20.7203898299922,0.179
-0.015,10,496.887725754342,564.961194232457,5.2342620999878,-15.1174471440659,0.179
-0.015,11,498.222547863646,533.23539719708,5.09540695492853,-9.48345140966237,0.179
-0.015,12,495.160320946401,501.607823706839,4.91864190643196,-3.83682397154159,0.179
-0.015,13,494.206159486455,469.887841589645,5.10414834814039,1.80147841077684,0.179
-0.015,14,492.369752579502,438.061574537865,5.62866101340783,7.415407945259,0.179
-0.015,15,487.363895078033,407.574236052761,6.3053982969137,13.0114851956353,0.179
-0.015,16,508.904614268576,383.689020309701,6.84381531969618,18.6195468762131,0.179
-0.015,17,511.415898848774,351.730819090114,7.32086302080817,24.2304232341596,0.179
-0.015,18,509.575162070049,320.155658261765,7.99312055258296,29.8154257849706,0.179
-0.015,19,516.325816525403,289.082417171078,8.58979030799639,35.4067365261474,0.179
-0.015,20,518.578807535709,257.402038928892,9.50683152329609,40.9391541905725,0.179
-0.014,1,503.093418431732,848.014917537134,5.77955722917203,-65.4433930708757,0.179
-0.014,2,496.75272173798,816.795533594106,5.05739643007115,-59.8975855863093,0.179
-0.014,3,501.608227293871,785.304598665824,4.38003215707009,-54.3380058157492,0.179
-0.014,4,500.58211205255,753.454601587278,3.79327949327248,-48.7598348730423,0.179
-0.014,5,496.726509302162,721.830813585868,3.36465130565938,-43.1599620011951,0.179
-0.014,6,482.71016029476,693.418183804843,3.20251640338521,-37.5391189521844,0.179
-0.014,7,499.151984633359,665.960644817939,3.39885125471078,-31.9116753746942,0.179
-0.014,8,499.318937030159,634.070911603664,4.01320776004269,-26.3045777121741,0.179
-0.014,9,498.027655184183,602.233679706991,4.81022896186849,-20.7166381941054,0.179
-0.014,10,497.8447392818,570.375967623596,5.23359571008561,-15.114367446936,0.179
-0.014,11,496.976142265884,538.524707539526,5.09438840124555,-9.48072040055277,0.179
-0.014,12,496.053992711841,506.678859962527,4.91879438687714,-3.83435355941284,0.179
-0.014,13,494.819256859634,474.833394743193,5.10445381407152,1.80359562735253,0.179
-0.014,14,494.6524504717,442.998529931176,5.62880230578845,7.41715052945156,0.179
-0.014,15,489.66399170796,411.34919384909,6.3055404802366,13.0128842502441,0.179
-0.014,16,503.14482924659,382.766657129249,6.84394338868713,18.6206056695908,0.179
-0.014,17,512.757960303422,352.280727352287,7.32096002519253,24.2311330810897,0.179
-0.014,18,510.3994502418,320.50122270336,7.99314855194572,29.8157946986618,0.179
-0.014,19,517.482600296531,289.465305552879,8.5898223972354,35.4067533937413,0.179
